Country,Legal Status,Citation Date,Log Price,Log Volume
Afghanistan,Illegal,2022-08-26,"[10.041434805880426, 9.841782347099448]","[12.399416565605865, 12.253480902925165]"
Albania,Legal,2021-06-11,"[10.807385813960234, 10.440790536745531]","[11.98754343176671, 10.483466034990435]"
Algeria,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Algeria,Illegal,2019-01-03,"[8.283620444611488, 8.161232278211163]","[12.69682820624223, 13.002678534458349]"
Angola,Legal,2020-01-07,"[8.925906352218865, 9.187276432377631]","[13.12044153184163, 13.5653426150749]"
Argentina,Legal /  Banking ban,2022-05-05,"[10.725599464377073, 10.304419066083744]","[19.85840464017862, 10.419599180731357]"
Argentina,Legal /  Banking ban,2022-05-06,"[10.672970578838283, 10.306048447496902]","[20.291744186518464, 10.319892600682627]"
Argentina,Legal /  Banking ban,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Australia,Legal,2013-12-13,"[6.075116119603592, 6.8456670866687155]","[10.491829618729946, 9.203315757039219]"
Australia,Legal,2014-09-21,"[6.246300545154681, 5.946467181177246]","[8.704502289721232, 9.175748927206564]"
Australia,Legal,2022-03-11,"[10.700744717165106, 10.648705225387076]","[10.838011052671343, 19.360023719356672]"
Austria,Legal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Bangladesh,Illegal,2021-07-27,"[10.453875177363901, 10.754313467726758]","[11.910358401381128, 11.208978500052412]"
Bangladesh,Illegal,2023-01-30,"[9.71337976154174, 10.070788529795731]","[11.778668629903255, 12.703113697125547]"
Bangladesh,Illegal,2014-09-15,"[6.257667587882639, 5.974318388273011]","[8.261009786023827, 10.020826044953361]"
Bangladesh,Illegal,2022-01-12,"[10.75157652848031, 10.65463001888321]","[11.294396251206765, 11.155535980093628]"
Bangladesh,Illegal,2015-02-23,"[5.514234872770507, 5.506956231659364]","[10.411509248969384, 11.786305752711149]"
Bangladesh,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Belarus,Legal,,[],[]
Belgium,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Bolivia,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Bolivia,Illegal,2014-06-20,"[6.191953407857386, 6.431331081933479]","[7.24422751560335, 7.7406644019172415]"
Bolivia,Illegal,2015-02-23,"[5.514234872770507, 5.506956231659364]","[10.411509248969384, 11.786305752711149]"
Bosnia and Herzegovina,Legal,,[],[]
Brazil,Legal,2014-02-19,"[6.862757913051401, 6.309190740908139]","[9.250522161609014, 8.24800570160062]"
Brazil,Legal,2019-05-03,"[8.51091351545893, 9.074360269421438]","[16.44235070364094, 13.328629299441742]"
Brazil,Legal,2021-03-04,"[10.476870987127503, 10.95185687222477]","[11.702305386131629, 11.138086550403825]"
Brazil,Legal,2017-11-17,"[8.62619108379135, 9.855646188113827]","[11.711940244705843, 11.673427361624258]"
Brunei,Legal to trade and hold,2018-12-12,"[8.769507120030227, 8.193261986289336]","[11.776519741892919, 13.220650938588275]"
Bulgaria,Legal,,[],[]
Cambodia,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Canada,Legal /  Banking ban,2017-09-05,"[8.080856419640986, 8.37133470281157]","[11.013039781242572, 11.06052596967285]"
Canada,Legal /  Banking ban,2019-03-22,"[8.287125725029204, 8.56474449327446]","[13.455988708289448, 13.606528754056159]"
Central African Republic,Legal,2022-04-27,"[10.760134431482768, 10.261203953969687]","[20.229412040153807, 11.664873721242287]"
Chile,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
China (PRC),Illegal,2015-02-18,"[5.3748153375207615, 5.5675808534758]","[10.360279287809632, 10.874834490158362]"
China (PRC),Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
China (PRC),Illegal,2021-09-24,"[10.799463325894875, 11.016438220245517]","[11.059424907823507, 10.661251376182046]"
China (PRC),Illegal,2018-01-05,"[9.528765011762477, 9.014593092143732]","[12.163060754936883, 12.545896402384901]"
China (PRC),Illegal,2018-01-10,"[9.725108214974798, 9.071055315872687]","[11.981240168784002, 12.362819951204697]"
China (PRC),Illegal,2014-04-01,"[6.300051580239659, 6.131443857161423]","[6.721425700790643, 8.34283980427146]"
China (PRC),Illegal,2014-11-08,"[5.8886009116487426, 5.8998973535824915]","[10.479819978504239, 10.039765170828677]"
China (PRC),Illegal,2018-07-12,"[8.788471454042341, 8.737388400638274]","[12.090998437684709, 12.418519187296049]"
China (PRC),Illegal,2018-09-29,"[8.852765022794285, 8.75384509275524]","[15.134596169390715, 11.986173824380852]"
China (PRC),Illegal,2018-01-09,"[9.619770940576183, 9.007514021424868]","[12.214140016607933, 12.598452514089683]"
China (PRC),Illegal,2013-12-05,"[5.526647444549546, 6.829469360583593]","[10.71663752549077, 9.563810184965966]"
China (PRC),Illegal,2013-12-16,"[6.135564891081739, 6.847155656853207]","[9.859535665006945, 8.829079952564836]"
Colombia,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Costa Rica,Not considered currency,2017-10-09,"[8.374499956999328, 8.915217350869808]","[11.252728849453307, 12.302382325667581]"
Costa Rica,Not considered currency,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Croatia,Legal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Cyprus,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Czech Republic,Legal,2018-05-22,"[9.083268074412398, 8.814033201652784]","[11.994672371235552, 11.50580014002764]"
Czech Republic,Legal,2017-12-14,"[8.79438543751332, 9.567469212888097]","[11.477298287327077, 11.020921595444825]"
Czech Republic,Legal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Denmark,Legal,2013-12-17,"[6.26966430417027, 6.817283375818062]","[10.193167627650581, 8.536995818712418]"
Denmark,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Denmark,Legal,2022-04-22,"[10.666906786081405, 10.31846064945422]","[19.888462921918524, 10.831706855275558]"
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",,[],[]
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",2021-02-07,"[10.61150610406188, 10.912886040659409]","[12.434362929663914, 11.64447990471053]"
Egypt,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
El Salvador,Legal,2021-09-07,"[10.687224699290436, 10.892729444858137]","[11.564093751544627, 11.23426920372576]"
El Salvador,Legal,2021-10-07,"[10.753202489438937, 11.026530630904102]","[12.141854073203522, 10.45995553418082]"
El Salvador,Legal,2021-10-12,"[10.737750106995536, 11.079164272057193]","[10.70369380538948, 10.827151038739697]"
El Salvador,Legal,2021-10-10,"[10.710918319482744, 11.11102001375926]","[11.233476077444925, 11.099377780668709]"
El Salvador,Legal,2021-06-09,"[10.930405108690136, 10.428139155435456]","[11.867868910730813, 11.114535270534025]"
El Salvador,Legal,2021-06-08,"[10.972298492884105, 10.400203095673774]","[11.548196079052147, 11.59071949241025]"
Estonia,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Estonia,Legal,2013-12-24,"[6.678342114654332, 6.850338008112186]","[10.163926888594034, 7.585788821732034]"
European Union,Legal,2022-01-18,"[10.751595798757728, 10.61036010771455]","[10.693080631364326, 11.193133338600214]"
European Union,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
European Union,Legal,2014-03-05,"[6.83701087445638, 6.096725057765475]","[7.933796874815411, 7.851661177889265]"
European Union,Legal,2016-12-06,"[6.56512411504534, 6.8969976223291765]","[10.15851729271266, 12.388435868122764]"
European Union,Legal,2015-02-18,"[5.3748153375207615, 5.5675808534758]","[10.360279287809632, 10.874834490158362]"
European Union,Legal,2015-10-22,"[5.438079308923196, 5.7829016791088]","[11.178151784984596, 10.714417768752456]"
European Union,Legal,2015-10-23,"[5.437644431769136, 5.777032936395794]","[10.682812429337126, 10.511893504640982]"
European Union,Legal,2016-05-26,"[6.144185634125646, 6.497528853772263]","[11.120771370921736, 11.517514917304036]"
European Union,Legal,2019-03-22,"[8.287125725029204, 8.56474449327446]","[13.455988708289448, 13.606528754056159]"
European Union,Legal,2014-07-04,"[6.459747947608298, 6.378256389950525]","[8.630521876723241, 7.138866999945524]"
European Union,Legal,2014-07-08,"[6.478509642208569, 6.384857073981877]","[8.104703468371108, 7.824046010856292]"
Fiji,Legal,,[],[]
Finland,Legal,2017-03-15,"[6.903144666424454, 7.070978960084151]","[10.401531841937386, 10.762572810639504]"
Finland,Legal,2019-03-22,"[8.287125725029204, 8.56474449327446]","[13.455988708289448, 13.606528754056159]"
Finland,Legal,2014-11-14,"[5.974318388273011, 5.8562173976999565]","[10.020826044953361, 9.42060129745938]"
Finland,Legal,2014-11-15,"[5.939644798378185, 5.844703165712578]","[9.942227380852058, 10.00604414086122]"
Finland,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
France,Legal,2016-09-28,"[6.352977767686964, 6.53116913042435]","[10.079958695651907, 10.570547398332755]"
G7,Legal,2014-03-06,"[6.831521972982548, 6.123807734095696]","[8.435983135990694, 7.05617528410041]"
Georgia,Legal,2019-06-28,"[9.065060232317112, 9.182743044784079]","[16.551824224339345, 13.158868869216638]"
Georgia,Legal,2020-05-21,"[8.830908440914834, 9.144072356124452]","[13.7018602209329, 12.856938433833513]"
Georgia,Legal,2020-12-03,"[9.548233027895526, 10.379513635347829]","[11.591459342624335, 12.392012647846839]"
Germany,Legal,2019-11-15,"[8.987246819412015, 8.871856112594015]","[13.197322415869785, 13.107412162951116]"
Germany,Legal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Germany,Legal,2013-08-19,"[4.497584975308154, 4.944495491591711]","[9.151651375627504, 9.157993891603974]"
Germany,Legal,2017-08-08,"[7.828595645554864, 8.441520919460237]","[10.575411096644446, 11.163793430202224]"
Germany,Legal,2014-01-18,"[6.595780513961311, 5.606904399679714]","[10.731165626053679, 10.8481713589115]"
Gibraltar,Legal,,[],[]
Greece,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Hong Kong,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Hong Kong,Legal,2013-11-16,"[5.060060177423779, 6.6331868456757395]","[9.672815734801127, 10.629343907505778]"
Hong Kong,Legal,2014-01-18,"[6.595780513961311, 5.606904399679714]","[10.731165626053679, 10.8481713589115]"
Hungary,Legal,2018-09-18,"[8.776707244040098, 8.790892965547474]","[14.812459192855883, 11.80671385585377]"
Iceland,Legal,2014-09-23,"[6.233822317345996, 5.874368775231734]","[7.835974581721566, 9.858490186605392]"
Iceland,Legal,2015-01-08,"[5.864199196062105, 5.428028973069694]","[10.688073793412855, 10.590616660770511]"
Iceland,Legal,2014-03-19,"[5.606904399679714, 6.18517928773138]","[10.8481713589115, 9.031213706078747]"
Iceland,Legal,2015-06-17,"[5.449320240084564, 5.633360010359655]","[10.880685219313804, 11.036823277262624]"
Iceland,Legal,2013-12-19,"[6.4703349996324215, 6.808708125380903]","[11.50388472031808, 8.706159290928861]"
Iceland,Legal,2019-03-22,"[8.287125725029204, 8.56474449327446]","[13.455988708289448, 13.606528754056159]"
Iceland,Legal,2013-12-21,"[6.63974510632782, 6.862757913051401]","[10.564369772508797, 9.250522161609014]"
Iceland,Legal,2014-12-09,"[5.8916442118257715, 5.644386264699545]","[9.443830215344537, 9.9124472939076]"
India,Legal,2022-02-02,"[10.745705388564458, 10.574969221708296]","[10.622789690572924, 21.889536774088334]"
India,Legal,,[],[]
India,Legal,2020-03-04,"[9.13740402089867, 8.815206710206265]","[13.460819359386694, 14.115615150414612]"
India,Legal,2019-02-17,"[8.190243471376439, 8.298290634359283]","[13.098398499950497, 14.91078394536687]"
India,Legal,2019-02-20,"[8.170949367966191, 8.291646755485717]","[12.884537567303978, 14.85578726961942]"
India,Legal,2021-01-30,"[10.273304757397767, 10.811655382790732]","[11.825470867146699, 11.831524640056731]"
India,Legal,2021-02-06,"[10.583047847987482, 10.864961952985604]","[12.42761491547741, 11.129319691214958]"
India,Legal,2021-06-02,"[10.953781065913608, 10.428612452609832]","[11.399084648546468, 11.276316662702449]"
India,Legal,2018-04-06,"[9.200582922520201, 9.175376186940088]","[12.558629120205158, 11.924703935134985]"
India,Legal,2021-09-18,"[10.752695729962435, 11.035797316502196]","[11.263437938316416, 11.291655158037699]"
India,Legal,2018-02-01,"[9.59927628924424, 9.341570368418873]","[11.833050525911377, 12.056411870975767]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2021-11-11,"[10.933390857988627, 10.805973434433724]","[11.223241389847775, 10.719515862471889]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2022-12-16,"[9.713567197866842, 9.946537463406639]","[12.597202154870972, 12.234660102382087]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2022-12-17,"[9.72263691341217, 9.961010899779781]","[12.456831363877356, 12.72920226375233]"
Iran,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Iran,Legal /  Banking ban,2018-06-14,"[9.045111892608405, 8.741104447969356]","[12.09859878722494, 12.403734272829691]"
Iran,Legal /  Banking ban,2018-06-24,"[8.9196805370538, 9.036819971135296]","[11.99423988536183, 12.752226802349458]"
Ireland,Not regulated by central bank,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Israel,Legal,2017-08-21,"[7.950326176766622, 8.26415728223699]","[11.711120370920472, 11.369632295143752]"
Israel,Legal,2017-07-06,"[7.962241509607692, 8.090341001426426]","[12.166447850746906, 11.979172045338252]"
Italy,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Jamaica,Legal,,[],[]
Jamaica,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Japan,Legal,2014-03-07,"[6.8073823048353495, 6.121834698269836]","[8.930626469173578, 8.185907481482324]"
Japan,Legal,2017-12-13,"[8.783013017010884, 9.538686826528034]","[12.09144711968887, 11.318976571935295]"
Japan,Legal,2021-06-06,"[10.956704906713846, 10.44072918104754]","[11.608326549733482, 11.334157586375571]"
Japan,Legal,2018-09-07,"[8.745698343625785, 8.796490207333578]","[12.649283019880597, 11.252339618180148]"
Jordan,Legal /  Banking ban,2014-02-24,"[6.8679744089702925, 6.332391134078575]","[9.009447429596793, 8.21878715560148]"
Jordan,Legal /  Banking ban,2015-06-17,"[5.449320240084564, 5.633360010359655]","[10.880685219313804, 11.036823277262624]"
Jordan,Legal /  Banking ban,2014-02-22,"[6.850338008112186, 6.3414169452858875]","[7.585788821732034, 8.207946941048617]"
Kosovo,Ban on mining[155],2022-01-16,"[10.74013316435498, 10.70424172353883]","[11.119882876860622, 10.939160041430364]"
Kosovo,Ban on mining[155],2022-01-22,"[10.835671318412196, 10.519151455618282]","[10.937383526484547, 11.427585417803213]"
